open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-01-06 03:00:00+00:00,98786.6,99220.2,98723.0,99005.0,3408.914,2025-01-06 03:59:59.999000+00:00,337561366.369,74280,1687.675,167128534.9056,0
2025-01-06 04:00:00+00:00,99005.0,99465.4,99005.0,99423.0,5492.645,2025-01-06 04:59:59.999000+00:00,545272627.8248,103595,3003.227,298176829.5616,0
2025-01-06 05:00:00+00:00,99423.0,99886.7,99354.2,99560.0,10695.922,2025-01-06 05:59:59.999000+00:00,1065536183.7793,151647,5574.799,555334445.1411,0
2025-01-06 06:00:00+00:00,99560.0,99748.2,99364.6,99466.8,5297.176,2025-01-06 06:59:59.999000+00:00,527285843.6628,95940,2426.027,241522338.5997,0
2025-01-06 07:00:00+00:00,99466.9,99504.5,99128.0,99280.0,4356.651,2025-01-06 07:59:59.999000+00:00,432601069.2732,90885,2035.55,202133525.5791,0
2025-01-06 08:00:00+00:00,99280.0,99600.0,98929.8,99001.3,7163.511,2025-01-06 08:59:59.999000+00:00,710579194.385,108046,3265.911,324075046.3479,0
2025-01-06 09:00:00+00:00,99001.2,99221.1,98894.0,98968.3,3602.282,2025-01-06 09:59:59.999000+00:00,356816364.595,69351,1655.762,164017883.245,0
2025-01-06 10:00:00+00:00,98968.4,99031.7,98662.7,98741.5,4805.404,2025-01-06 10:59:59.999000+00:00,474939199.0814,90700,2590.665,256068869.0359,0
2025-01-06 11:00:00+00:00,98741.4,99384.6,98667.6,99219.3,6348.189,2025-01-06 11:59:59.999000+00:00,629151281.7452,100335,3448.591,341751280.8579,0
2025-01-06 12:00:00+00:00,99219.2,99680.0,99101.7,99119.8,6258.425,2025-01-06 12:59:59.999000+00:00,622096828.2092,111769,3191.483,317263069.7437,0
2025-01-06 13:00:00+00:00,99119.7,99533.6,98863.4,99452.5,6906.199,2025-01-06 13:59:59.999000+00:00,684855040.1294,125105,3532.223,350354762.769,0
