time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,symbol,funding_rate,mark_price,return_1h,future_return_1h,future_return_4h,future_return_8h,funding_rate_diff,funding_rate_ma3
2025-03-24 06:00:00+00:00,86860.4,87277.5,86851.5,87071.3,8164.173,2025-03-24 06:59:59.999000+00:00,710462488.0647,126571,4303.121,374500315.1639,0,BTCUSDT,-1.77e-05,84235.4,0.0024291880180014047,-0.0027988556504841,0.007766049203353997,0.009757520560735866,0.0,-1.77e-05
2025-03-24 07:00:00+00:00,87071.4,87142.3,86685.4,86827.6,6930.806,2025-03-24 07:59:59.999000+00:00,602098726.636,103346,2839.018,246655017.6033,0,BTCUSDT,-1.77e-05,84235.4,-0.0027988556504841,0.006229585984180108,0.009396781668501664,0.016768861514080857,0.0,-1.77e-05
2025-03-24 08:00:00+00:00,86827.5,87475.5,86808.0,87368.5,8185.142,2025-03-24 08:59:59.999000+00:00,714252967.9698,143173,4548.65,396912786.5239,0,BTCUSDT,-1.77e-05,84235.4,0.006229585984180108,-0.0029427081842998692,-0.0009396979460561949,0.007314993390066249,0.0,-1.77e-05
2025-03-24 09:00:00+00:00,87368.5,87476.4,87074.9,87111.4,5073.911,2025-03-24 09:59:59.999000+00:00,442689907.6586,99241,2011.521,175523894.5941,0,BTCUSDT,-1.77e-05,84235.4,-0.0029427081842998692,0.00730214415105257,0.006209290632454678,0.014944083093602067,0.0,-1.77e-05
2025-03-24 10:00:00+00:00,87111.3,87898.9,87076.0,87747.5,8535.32,2025-03-24 10:59:59.999000+00:00,747444001.3095,125219,5172.054,452920457.2194,0,BTCUSDT,-1.77e-05,84235.4,0.00730214415105257,-0.0011852189521068812,0.0019761246759166795,0.007450924527764302,0.0,-1.77e-05
2025-03-24 11:00:00+00:00,87747.4,87794.9,87465.0,87643.5,4748.644,2025-03-24 11:59:59.999000+00:00,416043022.0309,80441,2154.325,188767436.5959,0,BTCUSDT,-1.77e-05,84235.4,-0.0011852189521068812,-0.004074460741526842,0.007303450911932963,0.005919434983769456,0.0,-1.77e-05
2025-03-24 12:00:00+00:00,87643.6,87665.5,87200.0,87286.4,9584.249,2025-03-24 12:59:59.999000+00:00,837476923.4387,140998,4035.333,352564407.8966,0,BTCUSDT,-1.77e-05,84235.4,-0.004074460741526842,0.0041919474282363645,0.00826245554863081,0.0058531455072039495,0.0,-1.77e-05
2025-03-24 13:00:00+00:00,87286.5,87668.7,87100.0,87652.3,10342.65,2025-03-24 13:59:59.999000+00:00,903581638.7678,166124,5409.901,472693471.6731,0,BTCUSDT,-1.77e-05,84235.4,0.0041919474282363645,0.0030643805125478707,0.008680890290385879,0.004761997118158945,0.0,-1.77e-05
2025-03-24 14:00:00+00:00,87652.4,88752.0,87588.0,87920.9,28783.871,2025-03-24 14:59:59.999000+00:00,2538288106.3026,403838,14137.352,1246695209.4148,0,BTCUSDT,-1.77e-05,84235.4,0.0030643805125478707,0.004125298990342641,0.005464002302069337,-0.005793844239537993,0.0,-1.77e-05
2025-03-24 15:00:00+00:00,87921.0,88325.2,87619.7,88283.6,9783.497,2025-03-24 15:59:59.999000+00:00,860849913.1101,173711,5177.911,455710150.0576,0,BTCUSDT,-1.77e-05,84235.4,0.004125298990342641,-0.003126288461277049,-0.0013739811244670719,-0.00929051375340395,0.0,-1.77e-05
2025-03-24 16:00:00+00:00,88283.7,88448.7,87630.0,88007.6,12857.714,2025-03-24 16:59:59.999000+00:00,1131886281.6077,191671,6203.249,546146584.1529,0,BTCUSDT,-1.77e-05,84235.4,-0.003126288461277049,0.004608692885614385,-0.0023895663556329216,-0.005125693690090416,0.0,-1.77e-05
2025-03-24 17:00:00+00:00,88007.5,88441.9,87888.0,88413.2,7457.594,2025-03-24 17:59:59.999000+00:00,658048921.7803,118835,4251.281,375107163.986,0,BTCUSDT,-1.77e-05,84235.4,0.004608692885614385,-0.0001345952866765865,-0.00388516646835535,-0.015492030601765294,0.0,-1.77e-05
2025-03-24 18:00:00+00:00,88413.3,88492.1,88077.0,88401.3,7079.903,2025-03-24 18:59:59.999000+00:00,625328244.2817,104879,3768.598,332859801.9913,0,BTCUSDT,-1.77e-05,84235.4,-0.0001345952866765865,-0.002703580150970608,-0.011196667922304337,-0.017954487094646754,0.0,-1.77e-05
2025-03-24 19:00:00+00:00,88401.3,88460.3,87900.0,88162.3,7177.86,2025-03-24 19:59:59.999000+00:00,633083242.7623,116843,3482.328,307116764.3641,0,BTCUSDT,-1.77e-05,84235.4,-0.002703580150970608,-0.004140091626466225,-0.007927424760924007,-0.019111343510775147,0.0,-1.77e-05
2025-03-24 20:00:00+00:00,88162.3,88438.5,87761.4,87797.3,5590.299,2025-03-24 20:59:59.999000+00:00,492470758.7928,96994,2547.786,224421674.1851,0,BTCUSDT,-1.77e-05,84235.4,-0.004140091626466225,0.003102601105045233,-0.002742681153065085,-0.01466104310724814,0.0,-1.77e-05
2025-03-24 21:00:00+00:00,87797.3,88237.5,87770.0,88069.7,4355.123,2025-03-24 21:59:59.999000+00:00,383261920.1963,71594,2321.443,204261622.3758,0,BTCUSDT,-1.77e-05,84235.4,0.003102601105045233,-0.00747362600304069,-0.011652134616105148,-0.01656642409364406,0.0,-1.77e-05
2025-03-24 22:00:00+00:00,88069.7,88146.4,87274.9,87411.5,8619.936,2025-03-24 22:59:59.999000+00:00,754899933.8554,119686,4044.312,354243669.0527,0,BTCUSDT,-1.77e-05,84235.4,-0.00747362600304069,0.0005937433861675778,-0.006834341019202217,-0.010435697820080803,0.0,-1.77e-05
2025-03-24 23:00:00+00:00,87411.5,87498.0,87010.0,87463.4,6722.624,2025-03-24 23:59:59.999000+00:00,586590423.8543,115702,3871.675,337870028.7192,0,BTCUSDT,-1.77e-05,84235.4,0.0005937433861675778,0.0010644452422385875,-0.011273286883427769,-0.012107921713539582,0.0,-1.77e-05
2025-03-25 00:00:00+00:00,87463.4,87644.0,87211.6,87556.5,6267.236,2025-03-25 00:59:59.999000+00:00,548168164.7564,108099,3542.537,309851135.1998,0,BTCUSDT,-2.47e-06,87463.3,0.0010644452422385875,-0.005859073855167818,-0.011951140120950443,-0.010067784801813695,1.523e-05,-1.2623333333333333e-05
2025-03-25 01:00:00+00:00,87556.4,87556.4,86758.5,87043.5,8755.166,2025-03-25 01:59:59.999000+00:00,762199491.4125,133459,4013.369,349376794.5604,0,BTCUSDT,-2.47e-06,87463.3,-0.005859073855167818,-0.0026354638772566608,-0.00497222653041296,0.0014820176118837125,0.0,-7.546666666666667e-06
2025-03-25 02:00:00+00:00,87043.5,87050.0,86777.0,86814.1,3616.333,2025-03-25 02:59:59.999000+00:00,314314350.142,73769,1973.703,171554473.0766,0,BTCUSDT,-2.47e-06,87463.3,-0.0026354638772566608,-0.00387840224111069,-0.00362613907187892,0.003128524053120252,0.0,-2.47e-06
2025-03-25 03:00:00+00:00,86814.0,86955.0,86278.5,86477.4,9630.73,2025-03-25 03:59:59.999000+00:00,833473850.398,144644,4506.705,390052971.6171,0,BTCUSDT,-2.47e-06,87463.3,-0.00387840224111069,0.0003781334776487011,-0.0008441511886342346,0.009781746444736061,0.0,-2.47e-06
2025-03-25 04:00:00+00:00,86477.3,86637.1,86260.0,86510.1,5023.93,2025-03-25 04:59:59.999000+00:00,434340451.3786,94182,2832.426,244896168.2388,0,BTCUSDT,-2.47e-06,87463.3,0.0003781334776487011,0.0011628700001502512,0.0019061358153555918,0.0061715337284316,0.0,-2.47e-06
2025-03-25 05:00:00+00:00,86510.0,86740.0,86360.0,86610.7,5074.229,2025-03-25 05:59:59.999000+00:00,439327249.1628,81303,2798.261,242283265.5914,0,BTCUSDT,-2.47e-06,87463.3,0.0011628700001502512,-0.0012862152135936222,0.0064864964721449425,0.01081044258965691,0.0,-2.47e-06
2025-03-25 06:00:00+00:00,86610.8,86847.3,86462.4,86499.3,5653.226,2025-03-25 06:59:59.999000+00:00,489759356.8403,82446,2516.866,218077980.4271,0,BTCUSDT,-2.47e-06,87463.3,-0.0012862152135936222,-0.0010971187050069497,0.006779245612392071,0.0169134316693893,0.0,-2.47e-06
2025-03-25 07:00:00+00:00,86499.9,86771.4,86280.7,86404.4,6442.066,2025-03-25 07:59:59.999000+00:00,557074897.1294,90060,3110.746,269022187.0255,0,BTCUSDT,-2.47e-06,87463.3,-0.0010971187050069497,0.003131784955395789,0.010634875075806516,0.015260796903861396,0.0,-2.47e-06
2025-03-25 08:00:00+00:00,86404.5,86727.1,86358.2,86675.0,3360.816,2025-03-25 08:59:59.999000+00:00,290920822.5166,62567,1896.701,164195943.3144,0,BTCUSDT,-2.47e-06,87463.3,0.003131784955395789,0.005739832708393511,0.0042572829535620915,0.012373810210556613,0.0,-2.47e-06
2025-03-25 09:00:00+00:00,86675.0,87322.0,86595.8,87172.5,9891.834,2025-03-25 09:59:59.999000+00:00,860798536.176,128490,5516.15,479960538.0585,0,BTCUSDT,-2.47e-06,87463.3,0.005739832708393511,-0.0009957268634031013,0.004296079612263082,0.008174596346324892,0.0,-2.47e-06
2025-03-25 10:00:00+00:00,87172.5,87248.4,86902.0,87085.7,4197.866,2025-03-25 10:59:59.999000+00:00,365431161.5473,66105,2017.43,175635702.0981,0,BTCUSDT,-2.47e-06,87463.3,-0.0009957268634031013,0.0027283469042564956,0.010065946533127867,0.007875001291830941,0.0,-2.47e-06
2025-03-25 11:00:00+00:00,87085.6,87448.0,87003.9,87323.3,4675.271,2025-03-25 11:59:59.999000+00:00,408105257.7785,79565,2382.325,207960116.7149,0,BTCUSDT,-2.47e-06,87463.3,0.0027283469042564956,-0.003198459059609582,0.004577243416132859,0.008337980813826196,0.0,-2.47e-06
2025-03-25 12:00:00+00:00,87323.4,87398.9,86839.2,87044.0,6758.09,2025-03-25 12:59:59.999000+00:00,588655990.9092,94490,2536.967,220990194.5392,0,BTCUSDT,-2.47e-06,87463.3,-0.003198459059609582,0.005778686641238817,0.008082119387895714,0.008736960617618639,0.0,-2.47e-06
2025-03-25 13:00:00+00:00,87044.0,88032.0,86984.6,87547.0,18313.124,2025-03-25 13:59:59.999000+00:00,1602261152.5239,274097,9445.034,826736094.4146,0,BTCUSDT,-2.47e-06,87463.3,0.005778686641238817,0.004743737649491209,0.003861925594252247,0.0017887534695650853,0.0,-2.47e-06
